광역시도명,시군구명,날짜,시간대별 시간,강수 유형명,습도값,강수량 값,기온값,풍속값,바람강도 유형명,동쪽서쪽바람유형명,풍향값,풍향카테고리명,한식,분식,카페/디저트,돈까스/일식,회,치킨,피자,아시안/양식,중식,족발/보쌈,야식,찜탕,도시락,패스트푸드
서울특별시,강북구,2020-01-01,0,없음,84,0,-4.3,0.6,약,east,40,NE,0,0,0,0,0,9,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,10,없음,72,0,0.2,1,약,east,89,E,0,4,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,11,없음,73,0,0,0.4,약,east,133,SE,0,1,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,12,없음,74,0,-0.2,0.7,약,east,75,ENE,0,1,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,13,없음,75,0,0,0.5,약,east,56,NE,0,1,0,0,0,0,3,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,14,없음,76,0,-0.2,0.8,약,east,331,NNW,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,15,없음,75,0,-0.3,0.7,약,east,112,ESE,0,1,0,0,0,0,1,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,16,없음,75,0,-0.2,0.6,약,east,115,ESE,0,0,1,0,0,0,2,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,17,없음,76,0,0,0.8,약,east,337,NNW,0,1,2,0,0,0,1,0,1,0,0,0,0,0
서울특별시,강북구,2020-01-01,18,없음,77,0,0,0.5,약,east,30,NNE,1,0,2,0,0,0,6,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,20,없음,77,0,0,1,약,east,328,NNW,0,0,0,0,0,0,1,0,0,0,1,0,0,0
서울특별시,강북구,2020-01-01,21,없음,76,0,0.1,0.7,약,east,102,ESE,0,1,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,23,없음,73,0,0.2,0.4,약,east,97,E,1,0,0,0,0,0,3,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,10,없음,68,0,0.9,0.7,약,east,141,SE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,16,없음,69,0,0.6,1.2,약,east,48,NE,0,0,0,1,1,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,17,없음,69,0,0.7,0.5,약,east,87,E,0,0,0,0,3,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,18,없음,69,0,0.8,0.2,약,east,93,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,19,없음,66,0,0.8,0.4,약,east,57,ENE,0,0,1,1,1,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,20,없음,64,0,1,0.3,약,east,23,NNE,0,0,0,1,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,21,없음,63,0,1.1,0.9,약,east,125,SE,0,0,0,0,1,0,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,0,없음,80,0,-4.3,1.2,약,east,72,ENE,0,2,0,0,1,9,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,1,없음,82,0,-3.2,0.8,약,east,42,NE,0,0,0,0,0,5,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,10,없음,72,0,-0.1,0.8,약,east,239,WSW,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,11,없음,73,0,-0.3,0.1,약,east,156,SSE,5,1,7,0,0,0,0,1,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,12,없음,73,0,-0.3,0.5,약,east,27,NNE,0,0,9,0,0,1,1,1,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,13,없음,76,0,-0.4,0.7,약,east,55,NE,1,0,18,0,0,3,0,1,0,1,0,0,0,1
서울특별시,관악구,2020-01-01,14,없음,76,0,-0.5,0.9,약,east,49,NE,1,2,17,0,0,0,1,1,1,1,0,0,0,0
서울특별시,관악구,2020-01-01,15,없음,76,0,-0.6,0.6,약,east,53,NE,0,0,16,1,0,2,2,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,16,없음,76,0,-0.7,1,약,east,60,ENE,0,1,14,0,0,4,0,0,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,17,없음,75,0,-0.6,1,약,east,44,NE,2,1,13,0,1,8,1,0,0,0,0,0,1,0
서울특별시,관악구,2020-01-01,18,없음,74,0,-0.6,0.5,약,east,41,NE,0,3,19,0,0,9,5,0,0,3,0,0,0,0
서울특별시,관악구,2020-01-01,19,없음,74,0,-0.6,0.2,약,east,48,NE,1,0,27,0,0,10,2,2,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,20,없음,74,0,-0.4,0.7,약,east,56,NE,0,0,28,0,0,8,3,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,21,없음,75,0,-0.4,0.3,약,east,52,NE,1,1,13,0,0,4,1,2,0,0,0,0,0,0
