광역시도명,시군구명,날짜,시간대별 시간,강수 유형명,습도값,강수량 값,기온값,풍속값,회,치킨,피자,아시안/양식,중식,족발/보쌈,야식,찜탕,도시락,패스트푸드
서울특별시,강북구,2020-01-01,0,없음,84,0,-4.3,0.6,0,9,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,10,없음,72,0,0.2,1,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,11,없음,73,0,0,0.4,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,12,없음,74,0,-0.2,0.7,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,13,없음,75,0,0,0.5,0,0,3,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,14,없음,76,0,-0.2,0.8,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,15,없음,75,0,-0.3,0.7,0,0,1,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,16,없음,75,0,-0.2,0.6,0,0,2,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,17,없음,76,0,0,0.8,0,0,1,0,1,0,0,0,0,0
서울특별시,강북구,2020-01-01,18,없음,77,0,0,0.5,0,0,6,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,20,없음,77,0,0,1,0,0,1,0,0,0,1,0,0,0
서울특별시,강북구,2020-01-01,21,없음,76,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-01,23,없음,73,0,0.2,0.4,0,0,3,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,10,없음,68,0,0.9,0.7,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,16,없음,69,0,0.6,1.2,1,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,17,없음,69,0,0.7,0.5,3,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,18,없음,69,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,19,없음,66,0,0.8,0.4,1,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,20,없음,64,0,1,0.3,0,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-01,21,없음,63,0,1.1,0.9,1,0,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,0,없음,80,0,-4.3,1.2,1,9,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,1,없음,82,0,-3.2,0.8,0,5,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,10,없음,72,0,-0.1,0.8,0,0,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,11,없음,73,0,-0.3,0.1,0,0,0,1,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,12,없음,73,0,-0.3,0.5,0,1,1,1,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,13,없음,76,0,-0.4,0.7,0,3,0,1,0,1,0,0,0,1
서울특별시,관악구,2020-01-01,14,없음,76,0,-0.5,0.9,0,0,1,1,1,1,0,0,0,0
서울특별시,관악구,2020-01-01,15,없음,76,0,-0.6,0.6,0,2,2,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,16,없음,76,0,-0.7,1,0,4,0,0,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,17,없음,75,0,-0.6,1,1,8,1,0,0,0,0,0,1,0
서울특별시,관악구,2020-01-01,18,없음,74,0,-0.6,0.5,0,9,5,0,0,3,0,0,0,0
서울특별시,관악구,2020-01-01,19,없음,74,0,-0.6,0.2,0,10,2,2,0,1,0,0,0,0
서울특별시,관악구,2020-01-01,20,없음,74,0,-0.4,0.7,0,8,3,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,21,없음,75,0,-0.4,0.3,0,4,1,2,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,22,없음,68,0,0,0,0,9,2,1,0,0,0,0,0,0
서울특별시,관악구,2020-01-01,23,없음,68,0,0.4,0.7,0,11,0,0,0,0,0,0,0,0
서울특별시,구로구,2020-01-01,0,없음,72,0,-3.2,1.3,0,25,9,0,0,10,4,1,0,0
서울특별시,구로구,2020-01-01,1,없음,75,0,-1.9,1.4,0,13,3,0,0,5,0,0,0,0
서울특별시,구로구,2020-01-01,2,없음,74,0,-0.7,1,0,4,1,0,0,0,0,0,0,0
서울특별시,구로구,2020-01-01,9,없음,69,0,1,0.8,0,1,0,0,0,0,0,0,0,5
