측정일자,측정소명,미세먼지(㎍/㎥)
20200101,중구,34
20200101,종로구,34
20200101,용산구,28
20200101,은평구,32
20200101,서대문구,32
20200101,마포구,30
20200101,광진구,28
20200101,성동구,31
20200101,중랑구,31
20200101,동대문구,32
20200101,성북구,32
20200101,도봉구,30
20200101,강북구,40
20200101,노원구,27
20200101,강서구,38
20200101,구로구,30
20200101,영등포구,32
20200101,동작구,38
20200101,관악구,33
20200101,금천구,29
20200101,양천구,40
20200101,강남구,30
20200101,서초구,37
20200101,송파구,31
20200101,강동구,35
20200102,중구,58
20200102,종로구,59
20200102,용산구,53
20200102,은평구,56
20200102,서대문구,60
20200102,마포구,51
20200102,광진구,73
20200102,성동구,55
20200102,중랑구,59
20200102,동대문구,52
20200102,성북구,60
20200102,도봉구,53
20200102,강북구,62
20200102,노원구,47
20200102,강서구,67
20200102,구로구,56
20200102,영등포구,54
20200102,동작구,63
20200102,관악구,56
20200102,금천구,53
20200102,양천구,68
20200102,강남구,56
20200102,서초구,69
20200102,송파구,56
20200102,강동구,66
20200103,중구,65
20200103,종로구,66
20200103,용산구,63
20200103,은평구,65
20200103,서대문구,68
20200103,마포구,66
20200103,광진구,64
20200103,성동구,63
20200103,중랑구,65
20200103,동대문구,60
20200103,성북구,63
20200103,도봉구,56
20200103,강북구,66
20200103,노원구,55
20200103,강서구,90
20200103,구로구,70
20200103,영등포구,68
20200103,동작구,82
20200103,관악구,71
20200103,금천구,65
20200103,양천구,84
20200103,강남구,61
20200103,서초구,79
20200103,송파구,63
20200103,강동구,76
20200104,중구,53
20200104,종로구,56
20200104,용산구,53
20200104,은평구,52
20200104,서대문구,53
20200104,마포구,55
20200104,광진구,54
20200104,성동구,54
20200104,중랑구,57
20200104,동대문구,52
20200104,성북구,52
20200104,도봉구,50
20200104,강북구,56
20200104,노원구,49
20200104,강서구,70
20200104,구로구,57
20200104,영등포구,56
20200104,동작구,68
20200104,관악구,55
20200104,금천구,48
20200104,양천구,68
20200104,강남구,54
20200104,서초구,62
20200104,송파구,55
20200104,강동구,63
20200105,중구,52
20200105,종로구,53
20200105,용산구,44
20200105,은평구,52
20200105,서대문구,53
20200105,마포구,50
20200105,광진구,47
20200105,성동구,46
20200105,중랑구,51
20200105,동대문구,48
20200105,성북구,51
20200105,도봉구,52
20200105,강북구,58
20200105,노원구,47
20200105,강서구,64
20200105,구로구,50
20200105,영등포구,50
20200105,동작구,64
20200105,관악구,53
20200105,금천구,45
20200105,양천구,60
20200105,강남구,45
20200105,서초구,60
20200105,송파구,47
20200105,강동구,57
20200106,중구,41
20200106,종로구,41
20200106,용산구,35
20200106,은평구,17
20200106,서대문구,29
20200106,마포구,35
20200106,광진구,35
20200106,성동구,37
20200106,중랑구,39
20200106,동대문구,40
20200106,성북구,41
20200106,도봉구,37
20200106,강북구,40
20200106,노원구,36
20200106,강서구,49
20200106,구로구,39
20200106,영등포구,42
20200106,동작구,57
20200106,관악구,43
20200106,금천구,34
20200106,양천구,48
20200106,강남구,38
20200106,서초구,44
20200106,송파구,42
20200106,강동구,44
20200107,중구,9
20200107,종로구,10
20200107,용산구,4
20200107,은평구,8
20200107,서대문구,3
20200107,마포구,7
20200107,광진구,5
20200107,성동구,13
20200107,중랑구,10
20200107,동대문구,12
20200107,성북구,12
20200107,도봉구,8
20200107,강북구,10
20200107,노원구,14
20200107,강서구,11
20200107,구로구,9
20200107,영등포구,10
20200107,동작구,12
20200107,관악구,10
20200107,금천구,6
20200107,양천구,10
20200107,강남구,6
20200107,서초구,7
20200107,송파구,7
20200107,강동구,6
20200108,중구,22
20200108,종로구,26
20200108,용산구,21
20200108,은평구,24
20200108,서대문구,24
20200108,마포구,29
20200108,광진구,25
20200108,성동구,25
20200108,중랑구,25
20200108,동대문구,22
20200108,성북구,24
20200108,도봉구,20
20200108,강북구,22
20200108,노원구,21
20200108,강서구,29
20200108,구로구,25
20200108,영등포구,24
20200108,동작구,34
20200108,관악구,30
20200108,금천구,29
20200108,양천구,28
20200108,강남구,20
20200108,서초구,35
20200108,송파구,25
20200108,강동구,25
20200109,중구,50
20200109,종로구,53
20200109,용산구,48
20200109,은평구,48
20200109,서대문구,47
20200109,마포구,47
20200109,광진구,44
20200109,성동구,48
20200109,중랑구,50
20200109,동대문구,46
20200109,성북구,43
20200109,도봉구,41
20200109,강북구,53
20200109,노원구,48
20200109,강서구,58
20200109,구로구,45
20200109,영등포구,46
20200109,동작구,61
20200109,관악구,50
20200109,금천구,52
20200109,양천구,55
20200109,강남구,46
20200109,서초구,50
20200109,송파구,51
20200109,강동구,54
20200110,중구,67
20200110,종로구,70
20200110,용산구,78
20200110,은평구,58
20200110,서대문구,63
20200110,마포구,61
20200110,광진구,59
20200110,성동구,61
20200110,중랑구,68
20200110,동대문구,65
20200110,성북구,65
20200110,도봉구,62
20200110,강북구,66
20200110,노원구,63
20200110,강서구,84
20200110,구로구,57
20200110,영등포구,60
20200110,동작구,76
20200110,관악구,63
20200110,금천구,69
20200110,양천구,75
20200110,강남구,58
20200110,서초구,67
20200110,송파구,60
20200110,강동구,70
20200111,중구,49
20200111,종로구,54
20200111,용산구,56
20200111,은평구,45
20200111,서대문구,50
20200111,마포구,51
20200111,광진구,54
20200111,성동구,52
20200111,중랑구,53
20200111,동대문구,50
20200111,성북구,50
20200111,도봉구,46
20200111,강북구,53
20200111,노원구,48
20200111,강서구,67
20200111,구로구,52
20200111,영등포구,52
20200111,동작구,63
20200111,관악구,53
20200111,금천구,53
20200111,양천구,64
20200111,강남구,51
20200111,서초구,61
20200111,송파구,52
20200111,강동구,61
20200112,중구,48
20200112,종로구,50
20200112,용산구,51
20200112,은평구,49
20200112,서대문구,47
20200112,마포구,42
20200112,광진구,44
20200112,성동구,45
20200112,중랑구,52
20200112,동대문구,44
20200112,성북구,45
20200112,도봉구,44
20200112,강북구,54
20200112,노원구,48
20200112,강서구,52
20200112,구로구,41
20200112,영등포구,40
20200112,동작구,55
20200112,관악구,43
20200112,금천구,47
20200112,양천구,49
20200112,강남구,43
20200112,서초구,46
20200112,송파구,45
20200112,강동구,54
20200113,중구,25
20200113,종로구,27
20200113,용산구,31
20200113,은평구,25
20200113,서대문구,26
20200113,마포구,25
20200113,광진구,23
20200113,성동구,27
20200113,중랑구,27
20200113,동대문구,24
20200113,성북구,27
20200113,도봉구,21
20200113,강북구,29
20200113,노원구,24
20200113,강서구,28
20200113,구로구,21
20200113,영등포구,23
20200113,동작구,30
20200113,관악구,26
20200113,금천구,26
20200113,양천구,28
20200113,강남구,23
20200113,서초구,23
20200113,송파구,27
20200113,강동구,29
20200114,중구,30
20200114,종로구,30
20200114,용산구,33
20200114,은평구,25
20200114,서대문구,30
20200114,마포구,29
20200114,광진구,30
20200114,성동구,31
20200114,중랑구,31
20200114,동대문구,27
20200114,성북구,30
20200114,도봉구,29
20200114,강북구,32
20200114,노원구,28
20200114,강서구,40
20200114,구로구,30
20200114,영등포구,31
20200114,동작구,39
20200114,관악구,33
20200114,금천구,36
20200114,양천구,38
20200114,강남구,29
20200114,서초구,32
20200114,송파구,33
20200114,강동구,36
20200115,중구,37
20200115,종로구,37
20200115,용산구,37
20200115,은평구,34
20200115,서대문구,39
20200115,마포구,38
20200115,광진구,34
20200115,성동구,35
20200115,중랑구,38
20200115,동대문구,34
20200115,성북구,38
20200115,도봉구,35
20200115,강북구,40
20200115,노원구,34
20200115,강서구,52
20200115,구로구,39
20200115,영등포구,39
20200115,동작구,44
20200115,관악구,42
20200115,금천구,42
20200115,양천구,49
20200115,강남구,34
20200115,서초구,40
20200115,송파구,35
20200115,강동구,42
20200116,중구,40
20200116,종로구,44
20200116,용산구,44
20200116,은평구,35
20200116,서대문구,39
20200116,마포구,41
20200116,광진구,42
