기준연월,시군구코드,광역시도명,시군구명,5세단위구분,총인구수,남성인구수,여성인구수
202001,11110,서울특별시,종로구,0-4세,3527,1765,1762
202002,11110,서울특별시,종로구,0-4세,3498,1752,1746
202003,11110,서울특별시,종로구,0-4세,3441,1728,1713
202004,11110,서울특별시,종로구,0-4세,3402,1705,1697
202005,11110,서울특별시,종로구,0-4세,3368,1691,1677
202006,11110,서울특별시,종로구,0-4세,3346,1683,1663
202001,11110,서울특별시,종로구,5-9세,4655,2363,2292
202002,11110,서울특별시,종로구,5-9세,4632,2340,2292
202003,11110,서울특별시,종로구,5-9세,4618,2342,2276
202004,11110,서울특별시,종로구,5-9세,4606,2337,2269
202005,11110,서울특별시,종로구,5-9세,4580,2330,2250
202006,11110,서울특별시,종로구,5-9세,4550,2313,2237
202001,11110,서울특별시,종로구,10-14세,5170,2624,2546
202002,11110,서울특별시,종로구,10-14세,5150,2636,2514
202003,11110,서울특별시,종로구,10-14세,5124,2611,2513
202004,11110,서울특별시,종로구,10-14세,5084,2591,2493
202005,11110,서울특별시,종로구,10-14세,5087,2575,2512
202006,11110,서울특별시,종로구,10-14세,5091,2581,2510
202001,11110,서울특별시,종로구,15-19세,6544,3274,3270
202002,11110,서울특별시,종로구,15-19세,6502,3251,3251
202003,11110,서울특별시,종로구,15-19세,6446,3216,3230
202004,11110,서울특별시,종로구,15-19세,6395,3199,3196
202005,11110,서울특별시,종로구,15-19세,6281,3159,3122
202006,11110,서울특별시,종로구,15-19세,6218,3124,3094
202001,11110,서울특별시,종로구,20-24세,10850,5148,5702
202002,11110,서울특별시,종로구,20-24세,10838,5132,5706
202003,11110,서울특별시,종로구,20-24세,10887,5136,5751
202004,11110,서울특별시,종로구,20-24세,10830,5102,5728
202005,11110,서울특별시,종로구,20-24세,10785,5075,5710
202006,11110,서울특별시,종로구,20-24세,10710,5026,5684
202001,11110,서울특별시,종로구,25-29세,12592,6473,6119
202002,11110,서울특별시,종로구,25-29세,12598,6445,6153
202003,11110,서울특별시,종로구,25-29세,12585,6459,6126
202004,11110,서울특별시,종로구,25-29세,12615,6463,6152
202005,11110,서울특별시,종로구,25-29세,12647,6493,6154
202006,11110,서울특별시,종로구,25-29세,12736,6538,6198
202001,11110,서울특별시,종로구,30-34세,10142,5060,5082
202002,11110,서울특별시,종로구,30-34세,10094,5066,5028
202003,11110,서울특별시,종로구,30-34세,10090,5062,5028
202004,11110,서울특별시,종로구,30-34세,10123,5102,5021
202005,11110,서울특별시,종로구,30-34세,10129,5084,5045
202006,11110,서울특별시,종로구,30-34세,10106,5066,5040
202001,11110,서울특별시,종로구,35-39세,10214,5021,5193
202002,11110,서울특별시,종로구,35-39세,10231,5015,5216
202003,11110,서울특별시,종로구,35-39세,10200,4994,5206
202004,11110,서울특별시,종로구,35-39세,10112,4978,5134
202005,11110,서울특별시,종로구,35-39세,10046,4949,5097
202006,11110,서울특별시,종로구,35-39세,10040,4957,5083
202001,11110,서울특별시,종로구,40-44세,9973,4800,5173
202002,11110,서울특별시,종로구,40-44세,9963,4813,5150
202003,11110,서울특별시,종로구,40-44세,9908,4796,5112
202004,11110,서울특별시,종로구,40-44세,9929,4782,5147
202005,11110,서울특별시,종로구,40-44세,9895,4749,5146
202006,11110,서울특별시,종로구,40-44세,9888,4734,5154
202001,11110,서울특별시,종로구,45-49세,13057,6390,6667
202002,11110,서울특별시,종로구,45-49세,13088,6413,6675
202003,11110,서울특별시,종로구,45-49세,13027,6383,6644
202004,11110,서울특별시,종로구,45-49세,12919,6334,6585
202005,11110,서울특별시,종로구,45-49세,12825,6301,6524
202006,11110,서울특별시,종로구,45-49세,12753,6275,6478
202001,11110,서울특별시,종로구,50-54세,12821,6383,6438
202002,11110,서울특별시,종로구,50-54세,12812,6365,6447
202003,11110,서울특별시,종로구,50-54세,12835,6385,6450
