기준연월,시군구코드,광역시도명,시군구명,총인구수
202001,11110,서울특별시,종로구,3527
202002,11110,서울특별시,종로구,3498
202003,11110,서울특별시,종로구,3441
202004,11110,서울특별시,종로구,3402
202005,11110,서울특별시,종로구,3368
202006,11110,서울특별시,종로구,3346
202001,11110,서울특별시,종로구,4655
202002,11110,서울특별시,종로구,4632
202003,11110,서울특별시,종로구,4618
202004,11110,서울특별시,종로구,4606
202005,11110,서울특별시,종로구,4580
202006,11110,서울특별시,종로구,4550
202001,11110,서울특별시,종로구,5170
202002,11110,서울특별시,종로구,5150
202003,11110,서울특별시,종로구,5124
202004,11110,서울특별시,종로구,5084
202005,11110,서울특별시,종로구,5087
202006,11110,서울특별시,종로구,5091
202001,11110,서울특별시,종로구,6544
202002,11110,서울특별시,종로구,6502
202003,11110,서울특별시,종로구,6446
202004,11110,서울특별시,종로구,6395
202005,11110,서울특별시,종로구,6281
202006,11110,서울특별시,종로구,6218
202001,11110,서울특별시,종로구,10850
202002,11110,서울특별시,종로구,10838
202003,11110,서울특별시,종로구,10887
202004,11110,서울특별시,종로구,10830
202005,11110,서울특별시,종로구,10785
202006,11110,서울특별시,종로구,10710
202001,11110,서울특별시,종로구,12592
202002,11110,서울특별시,종로구,12598
202003,11110,서울특별시,종로구,12585
202004,11110,서울특별시,종로구,12615
202005,11110,서울특별시,종로구,12647
202006,11110,서울특별시,종로구,12736
202001,11110,서울특별시,종로구,10142
202002,11110,서울특별시,종로구,10094
202003,11110,서울특별시,종로구,10090
202004,11110,서울특별시,종로구,10123
202005,11110,서울특별시,종로구,10129
202006,11110,서울특별시,종로구,10106
202001,11110,서울특별시,종로구,10214
202002,11110,서울특별시,종로구,10231
202003,11110,서울특별시,종로구,10200
202004,11110,서울특별시,종로구,10112
202005,11110,서울특별시,종로구,10046
202006,11110,서울특별시,종로구,10040
202001,11110,서울특별시,종로구,9973
202002,11110,서울특별시,종로구,9963
202003,11110,서울특별시,종로구,9908
202004,11110,서울특별시,종로구,9929
202005,11110,서울특별시,종로구,9895
202006,11110,서울특별시,종로구,9888
202001,11110,서울특별시,종로구,13057
202002,11110,서울특별시,종로구,13088
202003,11110,서울특별시,종로구,13027
202004,11110,서울특별시,종로구,12919
202005,11110,서울특별시,종로구,12825
202006,11110,서울특별시,종로구,12753
202001,11110,서울특별시,종로구,12821
202002,11110,서울특별시,종로구,12812
202003,11110,서울특별시,종로구,12835
202004,11110,서울특별시,종로구,12853
202005,11110,서울특별시,종로구,12905
202006,11110,서울특별시,종로구,12886
202001,11110,서울특별시,종로구,12889
202002,11110,서울특별시,종로구,12891
202003,11110,서울특별시,종로구,12901
202004,11110,서울특별시,종로구,12874
202005,11110,서울특별시,종로구,12858
202006,11110,서울특별시,종로구,12776
202001,11110,서울특별시,종로구,11279
202002,11110,서울특별시,종로구,11362
202003,11110,서울특별시,종로구,11300
202004,11110,서울특별시,종로구,11297
202005,11110,서울특별시,종로구,11293
202006,11110,서울특별시,종로구,11297
202001,11110,서울특별시,종로구,7957
202002,11110,서울특별시,종로구,8021
202003,11110,서울특별시,종로구,8189
202004,11110,서울특별시,종로구,8196
202005,11110,서울특별시,종로구,8217
202006,11110,서울특별시,종로구,8259
202001,11110,서울특별시,종로구,6722
202002,11110,서울특별시,종로구,6729
202003,11110,서울특별시,종로구,6720
202004,11110,서울특별시,종로구,6708
202005,11110,서울특별시,종로구,6672
202006,11110,서울특별시,종로구,6681
202001,11110,서울특별시,종로구,5841
202002,11110,서울특별시,종로구,5868
202003,11110,서울특별시,종로구,5860
202004,11110,서울특별시,종로구,5871
202005,11110,서울특별시,종로구,5899
202006,11110,서울특별시,종로구,5914
202001,11110,서울특별시,종로구,3859
202002,11110,서울특별시,종로구,3854
202003,11110,서울특별시,종로구,3894
202004,11110,서울특별시,종로구,3916
202005,11110,서울특별시,종로구,3903
202006,11110,서울특별시,종로구,3892
202001,11110,서울특별시,종로구,1846
202002,11110,서울특별시,종로구,1893
202003,11110,서울특별시,종로구,1898
202004,11110,서울특별시,종로구,1898
202005,11110,서울특별시,종로구,1922
202006,11110,서울특별시,종로구,1920
202001,11110,서울특별시,종로구,741
202002,11110,서울특별시,종로구,744
202003,11110,서울특별시,종로구,753
202004,11110,서울특별시,종로구,760
202005,11110,서울특별시,종로구,761
202006,11110,서울특별시,종로구,770
202001,11110,서울특별시,종로구,277
202002,11110,서울특별시,종로구,282
202003,11110,서울특별시,종로구,280
202004,11110,서울특별시,종로구,285
202005,11110,서울특별시,종로구,283
202006,11110,서울특별시,종로구,283
202001,11110,서울특별시,종로구,259
202002,11110,서울특별시,종로구,259
202003,11110,서울특별시,종로구,261
202004,11110,서울특별시,종로구,263
202005,11110,서울특별시,종로구,267
202006,11110,서울특별시,종로구,267
202001,11140,서울특별시,중구,3646
202002,11140,서울특별시,중구,3619
202003,11140,서울특별시,중구,3561
202004,11140,서울특별시,중구,3507
202005,11140,서울특별시,중구,3469
202006,11140,서울특별시,중구,3449
202001,11140,서울특별시,중구,3700
202002,11140,서울특별시,중구,3642
202003,11140,서울특별시,중구,3632
202004,11140,서울특별시,중구,3644
202005,11140,서울특별시,중구,3644
202006,11140,서울특별시,중구,3648
202001,11140,서울특별시,중구,3170
202002,11140,서울특별시,중구,3120
202003,11140,서울특별시,중구,3096
202004,11140,서울특별시,중구,3110
202005,11140,서울특별시,중구,3120
202006,11140,서울특별시,중구,3108
202001,11140,서울특별시,중구,4124
202002,11140,서울특별시,중구,4161
202003,11140,서울특별시,중구,4165
202004,11140,서울특별시,중구,4115
202005,11140,서울특별시,중구,4068
202006,11140,서울특별시,중구,4023
202001,11140,서울특별시,중구,7646
202002,11140,서울특별시,중구,7707
202003,11140,서울특별시,중구,7733
202004,11140,서울특별시,중구,7779
202005,11140,서울특별시,중구,7798
202006,11140,서울특별시,중구,7784
202001,11140,서울특별시,중구,10819
202002,11140,서울특별시,중구,10785
202003,11140,서울특별시,중구,10802
202004,11140,서울특별시,중구,10763
202005,11140,서울특별시,중구,10766
202006,11140,서울특별시,중구,10781
202001,11140,서울특별시,중구,10193
202002,11140,서울특별시,중구,10196
202003,11140,서울특별시,중구,10192
202004,11140,서울특별시,중구,10145
202005,11140,서울특별시,중구,10156
202006,11140,서울특별시,중구,10186
202001,11140,서울특별시,중구,10382
202002,11140,서울특별시,중구,10314
202003,11140,서울특별시,중구,10226
202004,11140,서울특별시,중구,10239
202005,11140,서울특별시,중구,10200
202006,11140,서울특별시,중구,10207
202001,11140,서울특별시,중구,8719
202002,11140,서울특별시,중구,8744
202003,11140,서울특별시,중구,8732
202004,11140,서울특별시,중구,8712
202005,11140,서울특별시,중구,8740
202006,11140,서울특별시,중구,8717
202001,11140,서울특별시,중구,9832
202002,11140,서울특별시,중구,9829
202003,11140,서울특별시,중구,9775
202004,11140,서울특별시,중구,9745
202005,11140,서울특별시,중구,9713
202006,11140,서울특별시,중구,9671
202001,11140,서울특별시,중구,10235
202002,11140,서울특별시,중구,10259
202003,11140,서울특별시,중구,10274
202004,11140,서울특별시,중구,10312
202005,11140,서울특별시,중구,10314
202006,11140,서울특별시,중구,10339
202001,11140,서울특별시,중구,10697
202002,11140,서울특별시,중구,10723
202003,11140,서울특별시,중구,10708
202004,11140,서울특별시,중구,10678
202005,11140,서울특별시,중구,10659
202006,11140,서울특별시,중구,10600
202001,11140,서울특별시,중구,9923
202002,11140,서울특별시,중구,9903
202003,11140,서울특별시,중구,9831
202004,11140,서울특별시,중구,9852
202005,11140,서울특별시,중구,9853
202006,11140,서울특별시,중구,9884
202001,11140,서울특별시,중구,7093
202002,11140,서울특별시,중구,7167
202003,11140,서울특별시,중구,7283
202004,11140,서울특별시,중구,7286
202005,11140,서울특별시,중구,7310
202006,11140,서울특별시,중구,7344
202001,11140,서울특별시,중구,5697
202002,11140,서울특별시,중구,5699
202003,11140,서울특별시,중구,5729
202004,11140,서울특별시,중구,5738
202005,11140,서울특별시,중구,5775
202006,11140,서울특별시,중구,5761
202001,11140,서울특별시,중구,4710
202002,11140,서울특별시,중구,4721
202003,11140,서울특별시,중구,4742
202004,11140,서울특별시,중구,4778
202005,11140,서울특별시,중구,4795
202006,11140,서울특별시,중구,4840
202001,11140,서울특별시,중구,3065
202002,11140,서울특별시,중구,3106
202003,11140,서울특별시,중구,3115
202004,11140,서울특별시,중구,3121
202005,11140,서울특별시,중구,3131
202006,11140,서울특별시,중구,3135
202001,11140,서울특별시,중구,1515
202002,11140,서울특별시,중구,1521
202003,11140,서울특별시,중구,1533
202004,11140,서울특별시,중구,1549
202005,11140,서울특별시,중구,1555
202006,11140,서울특별시,중구,1560
202001,11140,서울특별시,중구,642
202002,11140,서울특별시,중구,651
202003,11140,서울특별시,중구,652
202004,11140,서울특별시,중구,653
202005,11140,서울특별시,중구,657
202006,11140,서울특별시,중구,660
202001,11140,서울특별시,중구,199
202002,11140,서울특별시,중구,197
202003,11140,서울특별시,중구,199
202004,11140,서울특별시,중구,203
202005,11140,서울특별시,중구,201
202006,11140,서울특별시,중구,198
202001,11140,서울특별시,중구,194
202002,11140,서울특별시,중구,195
202003,11140,서울특별시,중구,195
202004,11140,서울특별시,중구,197
202005,11140,서울특별시,중구,196
202006,11140,서울특별시,중구,197
202001,11170,서울특별시,용산구,6801
202002,11170,서울특별시,용산구,6758
202003,11170,서울특별시,용산구,6729
202004,11170,서울특별시,용산구,6690
202005,11170,서울특별시,용산구,6650
202006,11170,서울특별시,용산구,6581
202001,11170,서울특별시,용산구,7326
202002,11170,서울특별시,용산구,7335
202003,11170,서울특별시,용산구,7325
202004,11170,서울특별시,용산구,7319
202005,11170,서울특별시,용산구,7318
202006,11170,서울특별시,용산구,7330
202001,11170,서울특별시,용산구,7326
202002,11170,서울특별시,용산구,7255
202003,11170,서울특별시,용산구,7238
202004,11170,서울특별시,용산구,7215
202005,11170,서울특별시,용산구,7216
202006,11170,서울특별시,용산구,7212
202001,11170,서울특별시,용산구,9069
202002,11170,서울특별시,용산구,9059
202003,11170,서울특별시,용산구,8981
202004,11170,서울특별시,용산구,8887
202005,11170,서울특별시,용산구,8795
202006,11170,서울특별시,용산구,8752
202001,11170,서울특별시,용산구,13776
202002,11170,서울특별시,용산구,13809
202003,11170,서울특별시,용산구,13806
202004,11170,서울특별시,용산구,13786
202005,11170,서울특별시,용산구,13780
202006,11170,서울특별시,용산구,13806
202001,11170,서울특별시,용산구,19215
202002,11170,서울특별시,용산구,19227
202003,11170,서울특별시,용산구,19322
202004,11170,서울특별시,용산구,19383
202005,11170,서울특별시,용산구,19410
202006,11170,서울특별시,용산구,19461
202001,11170,서울특별시,용산구,18635
202002,11170,서울특별시,용산구,18782
202003,11170,서울특별시,용산구,18756
202004,11170,서울특별시,용산구,18749
202005,11170,서울특별시,용산구,18836
202006,11170,서울특별시,용산구,18872
202001,11170,서울특별시,용산구,19451
202002,11170,서울특별시,용산구,19415
202003,11170,서울특별시,용산구,19390
202004,11170,서울특별시,용산구,19315
202005,11170,서울특별시,용산구,19293
202006,11170,서울특별시,용산구,19252
202001,11170,서울특별시,용산구,16613
202002,11170,서울특별시,용산구,16665
202003,11170,서울특별시,용산구,16667
202004,11170,서울특별시,용산구,16643
202005,11170,서울특별시,용산구,16665
202006,11170,서울특별시,용산구,16704
202001,11170,서울특별시,용산구,19650
202002,11170,서울특별시,용산구,19568
202003,11170,서울특별시,용산구,19459
202004,11170,서울특별시,용산구,19399
202005,11170,서울특별시,용산구,19293
202006,11170,서울특별시,용산구,19230
202001,11170,서울특별시,용산구,18557
202002,11170,서울특별시,용산구,18640
202003,11170,서울특별시,용산구,18652
202004,11170,서울특별시,용산구,18666
202005,11170,서울특별시,용산구,18696
202006,11170,서울특별시,용산구,18709
202001,11170,서울특별시,용산구,18038
202002,11170,서울특별시,용산구,18048
202003,11170,서울특별시,용산구,18007
202004,11170,서울특별시,용산구,18003
202005,11170,서울특별시,용산구,18004
202006,11170,서울특별시,용산구,17949
202001,11170,서울특별시,용산구,16330
202002,11170,서울특별시,용산구,16373
202003,11170,서울특별시,용산구,16300
202004,11170,서울특별시,용산구,16297
202005,11170,서울특별시,용산구,16314
202006,11170,서울특별시,용산구,16408
202001,11170,서울특별시,용산구,11269
202002,11170,서울특별시,용산구,11343
202003,11170,서울특별시,용산구,11508
202004,11170,서울특별시,용산구,11566
202005,11170,서울특별시,용산구,11605
202006,11170,서울특별시,용산구,11642
202001,11170,서울특별시,용산구,9277
202002,11170,서울특별시,용산구,9292
202003,11170,서울특별시,용산구,9306
202004,11170,서울특별시,용산구,9286
202005,11170,서울특별시,용산구,9300
202006,11170,서울특별시,용산구,9307
202001,11170,서울특별시,용산구,7915
202002,11170,서울특별시,용산구,7915
202003,11170,서울특별시,용산구,7890
202004,11170,서울특별시,용산구,7892
202005,11170,서울특별시,용산구,7905
202006,11170,서울특별시,용산구,7895
202001,11170,서울특별시,용산구,5559
202002,11170,서울특별시,용산구,5566
202003,11170,서울특별시,용산구,5573
202004,11170,서울특별시,용산구,5570
202005,11170,서울특별시,용산구,5590
202006,11170,서울특별시,용산구,5583
202001,11170,서울특별시,용산구,2687
202002,11170,서울특별시,용산구,2710
202003,11170,서울특별시,용산구,2736
202004,11170,서울특별시,용산구,2766
202005,11170,서울특별시,용산구,2791
202006,11170,서울특별시,용산구,2793
202001,11170,서울특별시,용산구,1132
202002,11170,서울특별시,용산구,1144
202003,11170,서울특별시,용산구,1151
202004,11170,서울특별시,용산구,1153
202005,11170,서울특별시,용산구,1157
202006,11170,서울특별시,용산구,1165
202001,11170,서울특별시,용산구,402
202002,11170,서울특별시,용산구,411
202003,11170,서울특별시,용산구,420
202004,11170,서울특별시,용산구,419
202005,11170,서울특별시,용산구,410
202006,11170,서울특별시,용산구,417
202001,11170,서울특별시,용산구,357
202002,11170,서울특별시,용산구,362
202003,11170,서울특별시,용산구,363
202004,11170,서울특별시,용산구,365
202005,11170,서울특별시,용산구,365
202006,11170,서울특별시,용산구,363
202001,11200,서울특별시,성동구,11055
202002,11200,서울특별시,성동구,10937
202003,11200,서울특별시,성동구,10762
202004,11200,서울특별시,성동구,10638
202005,11200,서울특별시,성동구,10578
202006,11200,서울특별시,성동구,10526
202001,11200,서울특별시,성동구,10760
202002,11200,서울특별시,성동구,10604
202003,11200,서울특별시,성동구,10602
202004,11200,서울특별시,성동구,10597
202005,11200,서울특별시,성동구,10555
202006,11200,서울특별시,성동구,10583
202001,11200,서울특별시,성동구,9528
202002,11200,서울특별시,성동구,9458
202003,11200,서울특별시,성동구,9430
202004,11200,서울특별시,성동구,9398
202005,11200,서울특별시,성동구,9397
202006,11200,서울특별시,성동구,9379
202001,11200,서울특별시,성동구,11774
202002,11200,서울특별시,성동구,11765
202003,11200,서울특별시,성동구,11712
202004,11200,서울특별시,성동구,11611
202005,11200,서울특별시,성동구,11514
202006,11200,서울특별시,성동구,11422
202001,11200,서울특별시,성동구,20282
202002,11200,서울특별시,성동구,20262
202003,11200,서울특별시,성동구,20223
202004,11200,서울특별시,성동구,20154
202005,11200,서울특별시,성동구,20170
202006,11200,서울특별시,성동구,20171
202001,11200,서울특별시,성동구,25609
202002,11200,서울특별시,성동구,25461
202003,11200,서울특별시,성동구,25501
202004,11200,서울특별시,성동구,25440
202005,11200,서울특별시,성동구,25426
202006,11200,서울특별시,성동구,25458
202001,11200,서울특별시,성동구,24275
202002,11200,서울특별시,성동구,24222
202003,11200,서울특별시,성동구,24164
202004,11200,서울특별시,성동구,24179
202005,11200,서울특별시,성동구,24184
202006,11200,서울특별시,성동구,24125
202001,11200,서울특별시,성동구,26448
202002,11200,서울특별시,성동구,26295
202003,11200,서울특별시,성동구,26079
202004,11200,서울특별시,성동구,25948
202005,11200,서울특별시,성동구,25833
202006,11200,서울특별시,성동구,25757
202001,11200,서울특별시,성동구,22276
202002,11200,서울특별시,성동구,22255
202003,11200,서울특별시,성동구,22153
202004,11200,서울특별시,성동구,22017
202005,11200,서울특별시,성동구,21969
202006,11200,서울특별시,성동구,22006
202001,11200,서울특별시,성동구,24810
202002,11200,서울특별시,성동구,24671
202003,11200,서울특별시,성동구,24494
202004,11200,서울특별시,성동구,24335
202005,11200,서울특별시,성동구,24189
202006,11200,서울특별시,성동구,24013
202001,11200,서울특별시,성동구,24236
202002,11200,서울특별시,성동구,24284
202003,11200,서울특별시,성동구,24238
202004,11200,서울특별시,성동구,24225
202005,11200,서울특별시,성동구,24194
202006,11200,서울특별시,성동구,24214
202001,11200,서울특별시,성동구,24167
202002,11200,서울특별시,성동구,24146
202003,11200,서울특별시,성동구,24034
202004,11200,서울특별시,성동구,23926
202005,11200,서울특별시,성동구,23906
202006,11200,서울특별시,성동구,23677
202001,11200,서울특별시,성동구,21137
202002,11200,서울특별시,성동구,21188
202003,11200,서울특별시,성동구,21103
202004,11200,서울특별시,성동구,21124
202005,11200,서울특별시,성동구,21136
202006,11200,서울특별시,성동구,21240
202001,11200,서울특별시,성동구,14170
202002,11200,서울특별시,성동구,14278
202003,11200,서울특별시,성동구,14482
202004,11200,서울특별시,성동구,14544
202005,11200,서울특별시,성동구,14552
202006,11200,서울특별시,성동구,14571
202001,11200,서울특별시,성동구,11301
202002,11200,서울특별시,성동구,11328
202003,11200,서울특별시,성동구,11328
202004,11200,서울특별시,성동구,11302
202005,11200,서울특별시,성동구,11335
202006,11200,서울특별시,성동구,11341
202001,11200,서울특별시,성동구,9160
202002,11200,서울특별시,성동구,9138
202003,11200,서울특별시,성동구,9165
202004,11200,서울특별시,성동구,9194
202005,11200,서울특별시,성동구,9216
202006,11200,서울특별시,성동구,9231
202001,11200,서울특별시,성동구,5613
202002,11200,서울특별시,성동구,5661
202003,11200,서울특별시,성동구,5687
202004,11200,서울특별시,성동구,5668
202005,11200,서울특별시,성동구,5695
202006,11200,서울특별시,성동구,5707
202001,11200,서울특별시,성동구,2469
202002,11200,서울특별시,성동구,2489
202003,11200,서울특별시,성동구,2512
202004,11200,서울특별시,성동구,2576
202005,11200,서울특별시,성동구,2577
202006,11200,서울특별시,성동구,2588
202001,11200,서울특별시,성동구,872
202002,11200,서울특별시,성동구,884
202003,11200,서울특별시,성동구,895
202004,11200,서울특별시,성동구,896
202005,11200,서울특별시,성동구,915
202006,11200,서울특별시,성동구,910
202001,11200,서울특별시,성동구,233
202002,11200,서울특별시,성동구,236
