Feature1,Feature2
10.38,122.8
17.77,132.9
,130
20.38,77.58
,135.1
15.7,82.57
19.98,119.6
20.83,90.2
,87.5
,83.97
23.24,102.7
17.89,103.6
24.8,132.4
23.95,103.7
22.61,93.6
27.54,96.73
,94.74
,108.1
22.15,130
14.36,87.46
15.71,85.63
12.44,60.34
14.26,102.5
,137.2
21.38,110
16.4,116
21.53,97.41
,122.1
25.27,102.4
15.05,115
25.11,124.8
18.7,77.93
,112.8
26.47,127.9
,107
21.59,110.1
21.72,93.63
,82.61
25.2,95.54
,88.4
21.58,86.18
21.35,71.9
24.81,128.3
20.28,87.32
21.81,85.42
17.6,123.7
16.84,51.71
18.66,85.98
14.63,78.04
22.3,86.91
21.6,74.72
16.34,87.21
,75.71
18.7,120.3
22.02,97.26
18.75,73.34
18.57,125.5
21.59,95.55
19.31,82.61
11.79,54.34
,64.55
20.98,54.66
,96.42
13.86,59.2
23.84,82.69
23.94,97.4
21.01,60.11
,71.8
17.33,58.79
16.49,81.37
21.31,123.6
14.64,58.79
24.52,114.2
,90.43
16.52,79.19
19.65,104.1
10.94,87.91
16.15,120.2
23.97,143.7
18,83.19
20.97,73.81
15.86,86.49
,171.5
26.29,129.1
,76.95
18.52,121.1
21.46,94.25
24.59,122
21.8,79.78
15.24,95.77
24.02,94.57
22.76,100.2
14.76,84.74
18.3,86.6
19.83,100.3
,132.4
17.84,77.79
19.94,62.11
,74.34
,94.48
24.98,88.05
13.43,43.79
20.52,77.22
19.4,63.95
,67.41
