bankrupt,Pclass,grade,score
0,3,normal,22
1,1,good,38
1,3,good,26
1,1,good,35
0,3,normal,35
0,*3,normal,
0,1,normal,54
0,3,normal,2
1,3,good,27
1,2,good,14
1,3,good,4
1,1,good,58
0,3,normal,20
0,3,normal,39
0,3,good,14
1,2,good,55
0,3,normal,2
1,2,normal,
0,3,good,31
1,3,good,
0,2,normal,35
1,2,normal,34
1,3,good,15
1,1,normal,28
0,3,good,8
1,3,good,38
0,3,normal,
0,1,normal,19
1,3,good,
0,3,normal,
0,1,normal,40
1,1,good,
1,3,good,
0,2,normal,66
0,1,normal,28
0,1,normal,42
1,3,normal,
0,3,normal,21
0,3,good,18
1,3,good,14
0,3,good,40
0,2,good,27
0,3,normal,
1,2,good,3
1,3,good,19
0,3,normal,
0,3,normal,
1,3,good,
0,3,normal,
0,3,good,18
0,*3,normal,7
0,3,normal,21
1,1,good,49
1,2,good,29
0,1,normal,65
1,1,normal,
1,2,good,21
0,3,normal,28.5
1,2,good,5
0,3,normal,11
0,3,normal,22
1,1,good,38
0,1,normal,45
0,3,normal,4
0,1,normal,
1,3,normal,
1,2,good,29
0,*3,normal,19
1,3,good,17
0,3,normal,26
0,2,normal,32
0,3,good,16
0,2,normal,21
0,3,normal,26
1,3,normal,32
0,3,normal,25
0,3,normal,
0,3,normal,
1,2,normal,0.83
1,3,good,30
0,3,normal,22
1,*3,normal,29
1,3,good,
0,1,normal,28
1,2,good,17
1,3,good,33
0,3,normal,16
0,3,normal,
1,1,good,23
0,3,normal,24
0,3,normal,29
0,3,normal,20
0,1,normal,46
0,3,normal,26
0,3,normal,59
0,3,normal,
0,1,normal,71
1,1,normal,23
1,2,good,34
0,2,normal,34
0,3,good,28
0,3,normal,
0,1,normal,21
0,3,normal,33
0,3,normal,37
0,3,normal,28
1,3,good,21
1,3,normal,
0,3,normal,38
1,3,good,
0,1,normal,47
0,*3,good,14.5
0,3,normal,22
0,3,good,20
0,3,good,17
0,*3,normal,21
0,3,normal,70.5
0,2,normal,29
0,1,normal,24
0,3,good,2
0,2,normal,21
0,3,normal,
0,2,normal,32.5
1,2,good,32.5
0,1,normal,54
1,3,normal,12
0,3,normal,
1,3,normal,24
1,3,good,
0,3,normal,45
0,3,normal,33
0,3,normal,20
0,3,good,47
1,2,good,29
0,2,normal,25
0,2,normal,23
1,1,good,19
0,1,normal,37
0,3,normal,16
