측정일시,측정소명,년,월,일,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20160101,강남구,2016,1,1,0.006,73.0,44.0
20160101,성북구,2016,1,1,0.005,71.0,45.0
20160101,송파구,2016,1,1,0.004,64.0,39.0
20160101,신촌로,2016,1,1,0.004,87.0,40.0
20160101,양천구,2016,1,1,0.008,82.0,65.0
20160101,영등포구,2016,1,1,0.006,80.0,40.0
20160101,영등포로,2016,1,1,0.003,87.0,49.0
20160101,은평구,2016,1,1,0.01,58.0,35.0
20160101,성동구,2016,1,1,0.004,77.0,39.0
20160101,정릉로,2016,1,1,0.006,71.0,43.0
20160101,종로구,2016,1,1,0.005,68.0,51.0
20160101,중구,2016,1,1,0.005,61.0,35.0
20160101,중랑구,2016,1,1,0.004,66.0,41.0
20160101,천호대로,2016,1,1,0.002,66.0,47.0
20160101,청계천로,2016,1,1,0.004,62.0,24.0
20160101,한강대로,2016,1,1,0.005,80.0,47.0
20160101,홍릉로,2016,1,1,0.003,69.0,56.0
20160101,종로,2016,1,1,0.004,72.0,36.0
20160101,서초구,2016,1,1,0.006,76.0,42.0
20160101,용산구,2016,1,1,0.005,59.0,46.0
20160101,마포구,2016,1,1,0.008,59.0,49.0
20160101,서대문구,2016,1,1,0.007,69.0,39.0
20160101,강동구,2016,1,1,0.002,77.0,45.0
20160101,강변북로,2016,1,1,0.004,73.0,39.0
20160101,강북구,2016,1,1,0.004,77.0,52.0
20160101,강서구,2016,1,1,0.005,66.0,38.0
20160101,공항대로,2016,1,1,0.004,70.0,37.0
20160101,관악구,2016,1,1,0.009,66.0,44.0
20160101,광진구,2016,1,1,0.004,85.0,64.0
20160101,강남대로,2016,1,1,0.004,85.0,52.0
20160101,금천구,2016,1,1,0.01,64.0,49.0
20160101,노원구,2016,1,1,0.003,68.0,49.0
20160101,도봉구,2016,1,1,0.005,67.0,41.0
20160101,도산대로,2016,1,1,0.004,69.0,43.0
20160101,동대문구,2016,1,1,0.005,66.0,44.0
20160101,동작구,2016,1,1,0.009,54.0,39.0
20160101,동작대로,2016,1,1,0.005,88.0,50.0
20160101,구로구,2016,1,1,0.007,56.0,41.0
20160102,성북구,2016,1,2,0.005,54.0,29.0
20160102,송파구,2016,1,2,0.012,41.0,25.0
20160102,신촌로,2016,1,2,0.005,66.0,27.0
20160102,양천구,2016,1,2,0.014,59.0,40.0
20160102,영등포구,2016,1,2,0.009,62.0,28.0
20160102,영등포로,2016,1,2,0.005,64.0,32.0
20160102,용산구,2016,1,2,0.008,43.0,30.0
20160102,정릉로,2016,1,2,0.01,57.0,30.0
20160102,중랑구,2016,1,2,0.007,51.0,29.0
20160102,종로구,2016,1,2,0.007,53.0,37.0
20160102,중구,2016,1,2,0.007,47.0,25.0
20160102,천호대로,2016,1,2,0.006,52.0,35.0
20160102,청계천로,2016,1,2,0.005,52.0,19.0
20160102,한강대로,2016,1,2,0.006,58.0,30.0
20160102,홍릉로,2016,1,2,0.004,57.0,44.0
20160102,성동구,2016,1,2,0.005,44.0,27.0
20160102,종로,2016,1,2,0.004,59.0,30.0
20160102,서초구,2016,1,2,0.013,53.0,26.0
20160102,은평구,2016,1,2,0.016,45.0,24.0
20160102,마포구,2016,1,2,0.011,45.0,35.0
20160102,강남대로,2016,1,2,0.005,68.0,37.0
20160102,강동구,2016,1,2,0.002,56.0,31.0
20160102,강변북로,2016,1,2,0.006,54.0,26.0
20160102,강북구,2016,1,2,0.005,71.0,44.0
20160102,강서구,2016,1,2,0.01,42.0,26.0
20160102,공항대로,2016,1,2,0.007,56.0,27.0
20160102,관악구,2016,1,2,0.013,54.0,35.0
20160102,광진구,2016,1,2,0.007,58.0,41.0
20160102,강남구,2016,1,2,0.012,50.0,29.0
20160102,구로구,2016,1,2,0.012,41.0,27.0
20160102,동작대로,2016,1,2,0.008,69.0,39.0
20160102,동작구,2016,1,2,0.015,48.0,34.0
20160102,동대문구,2016,1,2,0.007,55.0,33.0
20160102,서대문구,2016,1,2,0.013,55.0,26.0
20160102,도봉구,2016,1,2,0.004,54.0,31.0
20160102,노원구,2016,1,2,0.004,52.0,36.0
20160102,금천구,2016,1,2,0.018,52.0,36.0
20160102,도산대로,2016,1,2,0.007,47.0,26.0
20160103,성동구,2016,1,3,0.008,,50.0
20160103,성북구,2016,1,3,0.013,80.0,50.0
20160103,송파구,2016,1,3,0.011,76.0,44.0
20160103,신촌로,2016,1,3,0.007,127.0,51.0
20160103,양천구,2016,1,3,0.017,116.0,80.0
20160103,영등포구,2016,1,3,0.012,119.0,53.0
20160103,영등포로,2016,1,3,0.007,126.0,67.0
20160103,용산구,2016,1,3,0.01,85.0,62.0
20160103,정릉로,2016,1,3,0.021,93.0,52.0
20160103,종로,2016,1,3,0.01,103.0,55.0
20160103,종로구,2016,1,3,0.015,98.0,68.0
20160103,홍릉로,2016,1,3,0.007,97.0,80.0
20160103,중랑구,2016,1,3,0.008,92.0,54.0
20160103,천호대로,2016,1,3,0.006,91.0,61.0
20160103,청계천로,2016,1,3,0.012,96.0,36.0
20160103,한강대로,2016,1,3,0.011,104.0,59.0
20160103,서초구,2016,1,3,0.01,114.0,52.0
20160103,은평구,2016,1,3,0.017,96.0,49.0
20160103,중구,2016,1,3,0.016,86.0,50.0
20160103,서대문구,2016,1,3,0.017,109.0,53.0
20160103,동작대로,2016,1,3,0.009,118.0,66.0
20160103,마포구,2016,1,3,0.017,88.0,68.0
20160103,강남구,2016,1,3,0.012,101.0,60.0
20160103,강남대로,2016,1,3,0.007,99.0,66.0
20160103,강동구,2016,1,3,0.002,97.0,56.0
20160103,강변북로,2016,1,3,0.006,93.0,49.0
20160103,강서구,2016,1,3,0.011,,50.0
20160103,공항대로,2016,1,3,0.005,114.0,53.0
20160103,관악구,2016,1,3,0.019,96.0,60.0
20160103,강북구,2016,1,3,0.016,109.0,68.0
20160103,구로구,2016,1,3,0.017,83.0,51.0
20160103,금천구,2016,1,3,0.014,96.0,67.0
20160103,노원구,2016,1,3,0.011,87.0,60.0
20160103,도봉구,2016,1,3,0.02,83.0,48.0
20160103,도산대로,2016,1,3,0.007,88.0,52.0
20160103,동대문구,2016,1,3,0.013,94.0,59.0
20160103,동작구,2016,1,3,0.016,94.0,61.0
20160103,광진구,2016,1,3,0.009,111.0,80.0
20160104,은평구,2016,1,4,0.029,82.0,46.0
20160104,송파구,2016,1,4,0.03,61.0,35.0
20160104,신촌로,2016,1,4,0.011,104.0,41.0
20160104,양천구,2016,1,4,0.021,87.0,62.0
20160104,영등포구,2016,1,4,0.017,96.0,43.0
20160104,영등포로,2016,1,4,0.017,96.0,50.0
20160104,용산구,2016,1,4,0.022,66.0,49.0
20160104,정릉로,2016,1,4,0.026,79.0,42.0
20160104,화랑로,2016,1,4,0.012,26.0,8.0
20160104,종로구,2016,1,4,0.02,84.0,58.0
20160104,중구,2016,1,4,0.026,70.0,38.0
20160104,중랑구,2016,1,4,0.024,80.0,45.0
20160104,천호대로,2016,1,4,0.019,76.0,48.0
20160104,청계천로,2016,1,4,0.024,75.0,27.0
20160104,한강대로,2016,1,4,0.018,83.0,45.0
20160104,홍릉로,2016,1,4,0.015,74.0,58.0
20160104,성북구,2016,1,4,0.029,64.0,38.0
20160104,종로,2016,1,4,0.027,83.0,44.0
20160104,성동구,2016,1,4,0.023,33.0,48.0
20160104,금천구,2016,1,4,0.025,86.0,60.0
20160104,서대문구,2016,1,4,0.027,89.0,43.0
20160104,강남대로,2016,1,4,0.012,82.0,50.0
20160104,강동구,2016,1,4,0.003,77.0,38.0
20160104,강변북로,2016,1,4,0.014,83.0,40.0
20160104,강북구,2016,1,4,0.03,78.0,48.0
20160104,강서구,2016,1,4,0.022,25.0,43.0
20160104,공항대로,2016,1,4,0.012,93.0,40.0
20160104,관악구,2016,1,4,0.027,66.0,45.0
20160104,광진구,2016,1,4,0.026,85.0,61.0
20160104,강남구,2016,1,4,0.03,83.0,47.0
20160104,서초구,2016,1,4,0.021,106.0,43.0
20160104,노원구,2016,1,4,0.03,72.0,46.0
20160104,도봉구,2016,1,4,0.041,68.0,41.0
20160104,도산대로,2016,1,4,0.016,72.0,41.0
20160104,동대문구,2016,1,4,0.025,76.0,46.0
20160104,동작구,2016,1,4,0.028,70.0,51.0
20160104,동작대로,2016,1,4,0.015,91.0,51.0
20160104,마포구,2016,1,4,0.024,74.0,57.0
20160104,구로구,2016,1,4,0.025,77.0,42.0
20160105,영등포로,2016,1,5,0.011,42.0,18.0
20160105,영등포구,2016,1,5,0.01,40.0,18.0
20160105,성북구,2016,1,5,0.02,29.0,15.0
20160105,신촌로,2016,1,5,0.009,44.0,17.0
20160105,송파구,2016,1,5,0.021,27.0,13.0
20160105,용산구,2016,1,5,0.014,26.0,17.0
20160105,양천구,2016,1,5,0.015,37.0,21.0
20160105,은평구,2016,1,5,0.017,34.0,15.0
20160105,중랑구,2016,1,5,0.018,31.0,16.0
20160105,종로,2016,1,5,0.02,31.0,17.0
20160105,종로구,2016,1,5,0.006,29.0,18.0
20160105,중구,2016,1,5,0.02,30.0,13.0
20160105,천호대로,2016,1,5,0.01,30.0,18.0
20160105,청계천로,2016,1,5,0.014,32.0,9.0
20160105,한강대로,2016,1,5,0.014,35.0,17.0
20160105,홍릉로,2016,1,5,0.012,29.0,20.0
20160105,성동구,2016,1,5,0.016,35.0,16.0
20160105,정릉로,2016,1,5,0.016,42.0,21.0
20160105,서초구,2016,1,5,0.013,58.0,17.0
20160105,화랑로,2016,1,5,0.011,36.0,14.0
20160105,마포구,2016,1,5,0.018,26.0,19.0
20160105,강남구,2016,1,5,0.022,33.0,16.0
20160105,강남대로,2016,1,5,0.008,35.0,18.0
20160105,강동구,2016,1,5,0.006,30.0,13.0
