무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,가나다,OBJECTID,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
덕진-5,전라북도,전주시 덕진구,시도,,저경단로,3,전라북도 전주시 덕진구 조경단로 103,전라북도 전주시 덕진구 금암동 1546-9,금암1동,2243,35.84339489,127.1385217,허병원 앞(사대부고사거리),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-56,전라북도,전주시 덕진구,시도,,태진로,3,전라북도 전주시 덕진구 태진로 125-30,전라북도 전주시 덕진구 금암동 1639-1,금암1동,2243,35.83324801,127.134215,휴엔하임아파트 정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-114,전라북도,전주시 덕진구,시도,,팔달로,3,전라북도 전주시 덕진구 팔달로 371-1,전라북도 전주시 덕진구 금암동 453-4,금암1동,2243,35.83320572,127.136717,금암광장 방림교회 부근,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-115,전라북도,전주시 덕진구,시도,,팔달로,3,전라북도 전주시 덕진구 팔달로 387-1,전라북도 전주시 덕진구 금암동 454-1,금암1동,2243,35.83440491,127.1357822,금암광장 안경나라 부근,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-2,전라북도,전주시 덕진구,시도,,가리내로,3,전라북도 전주시 덕진구 가리내로 15,전라북도 전주시 덕진구 금암동 457-25,금암1동,2243,35.83418024,127.1344888,금암휴엔하임입구(터미널옆),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-1,전라북도,전주시 덕진구,시도,,권삼득로,3,전라북도 전주시 덕진구 권삼득로 210,전라북도 전주시 덕진구 금암동 544-3,금암1동,2243,35.83809479,127.1368539,금암초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-1,전라북도,전주시 덕진구,시도,,권삼득로,3,전라북도 전주시 덕진구 권삼득로 309,전라북도 전주시 덕진구 금암동 664-43,금암1동,2243,35.84351171,127.128024,전북대구정문(실내체육관),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-3,전라북도,전주시 덕진구,시도,,가리내로,3,전라북도 전주시 덕진구 가리내로 31,전라북도 전주시 덕진구 금암동 706-6,금암1동,2243,35.83399361,127.1326802,시외버스터미널,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-4,전라북도,전주시 덕진구,시도,,기린대로,3,전라북도 전주시 덕진구 기린대로 450,전라북도 전주시 덕진구 금암동 708-15,금암1동,2243,35.84094697,127.1280506,종합경기장 앞(일양병원),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-7,전라북도,전주시 덕진구,시도,,전주천동로,3,전라북도 전주시 덕진구 가리내로 70,전라북도 전주시 덕진구 금암동 767-9,금암1동,2243,35.8344949,127.1292818,고속버스터미널,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-6,전라북도,전주시 덕진구,시도,,건지로,3,전라북도 전주시 덕진구 건지로 7,전라북도 전주시 덕진구 금암동 1593-3,금암2동,2244,35.84423712,127.1422913,전북대병원 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산노-2,전라북도,전주시 덕진구,시도,,관선1길 60,3,전라북도 전주시 완산구 관선1길 60,전라북도 전주시 완산구 남노송동 156-13,노송동,2237,35.81904744,127.1572408,기린봉 노인복지관,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-13,전라북도,전주시 덕진구,시도,,견훤왕궁로,3,전라북도 전주시 완산구 견훤왕궁로 16,전라북도 전주시 완산구 남노송동 507-1,노송동,2237,35.82100253,127.1541845,풍남초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-151,전라북도,전주시 완산구,시도,,현무1길,3,전라북도 전주시 완산구 현무1길 40,전라북도 전주시 완산구 서노송동 560-6,노송동,2237,35.82252657,127.1476473,카톨릭센터(베스트웨스턴호텔),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-11,전라북도,전주시 완산구,시도,,기린대로,3,전라북도 전주시 완산구 기린대로 213,전라북도 전주시 완산구 서노송동 568-95,노송동,2237,35.82573592,127.146347,대우빌딩 앞(거마로에서이설),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-12,전라북도,전주시 완산구,시도,,팔달로,3,전라북도 전주시 완산구 팔달로 222,전라북도 전주시 완산구 서노송동 611-3,노송동,2237,35.82213335,127.1458742,오거리 국민은행 사거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-13,전라북도,전주시 완산구,시도,,팔달로,3,,전라북도 전주시 완산구 서노송동 641-2,노송동,2237,35.82499085,127.1443518,세이브존(구 코아),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산노-4,전라북도,전주시 덕진구,시도,,공북로 101,3,전라북도 전주시 완산구 공북로 101,전라북도 전주시 완산구 서노송동 651-18,노송동,2237,35.82665337,127.143008,노송천 노인복지관,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-146,전라북도,전주시 완산구,시도,,권삼득로,3,전라북도 전주시 완산구 권삼득로 46-2,전라북도 전주시 완산구 서노송동 706-23,노송동,2237,35.82634903,127.147984,서노송예술촌,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산방-2,전라북도,전주시 덕진구,시도,,물왕벌로,3,전라북도 전주시 완산구 물왕멀로 72,전라북도 전주시 완산구 중노송동 399-1,노송동,2237,35.82952144,127.1524688,동초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-98,전라북도,전주시 완산구,시도,,견훤왕궁1길,3,,전라북도 전주시 완산구 중노송동 414-14,노송동,2237,35.8281033,127.1514424,서해그랑블 정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-99,전라북도,전주시 완산구,시도,,물왕벌로,3,,전라북도 전주시 완산구 중노송동 414-14,노송동,2237,35.8281033,127.1514424,서해그랑블 107동 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-25,전라북도,전주시 완산구,시도,,아중로,3,전라북도 전주시 완산구 아중로 10-5,전라북도 전주시 완산구 중노송동 500-1,노송동,2237,35.82296992,127.1514004,전고앞(파란),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-8,전라북도,전주시 덕진구,시도,,명륜4길,3,전라북도 전주시 덕진구 명륜4길 15,전라북도 전주시 덕진구 덕진동1가 1261-30,덕진동,2242,35.843243,127.1265344,전북대구정문(일방로),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-9,전라북도,전주시 덕진구,시도,,기린대로,3,전라북도 전주시 덕진구 기린대로 473,전라북도 전주시 덕진구 덕진동1가 1267-13,덕진동,2242,35.84197158,127.1257765,전북대 지하보도,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-5,전라북도,전주시 덕진구,시도,,들사평로,3,전라북도 전주시 덕진구 들사평로 61,전라북도 전주시 덕진구 덕진동1가 1272-2,덕진동,2242,35.84126266,127.1242898,덕진초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-10,전라북도,전주시 덕진구,시도,,덕진광장로,3,전라북도 전주시 덕진구 덕진광장로 3,전라북도 전주시 덕진구 덕진동1가 1278-2,덕진동,2242,35.84419534,127.1240375,덕진광장 공영주차장 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-11,전라북도,전주시 덕진구,시도,,권삼득로,3,전라북도 전주시 덕진구 권삼득로 390,전라북도 전주시 덕진구 덕진동1가 1316-2,덕진동,2242,35.84749476,127.1210312,덕진공원(동),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-12,전라북도,전주시 덕진구,시도,,사평로,3,전라북도 전주시 덕진구 사평로 55,전라북도 전주시 덕진구 덕진동1가 1403-31,덕진동,2242,35.84235353,127.1221045,777타이어 앞(법원),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-72,전라북도,전주시 덕진구,시도,,소리로,3,전라북도 전주시 덕진구 소리로 6,전라북도 전주시 덕진구 덕진동1가 640,덕진동,2242,35.85343981,127.1357034,실내배드민턴장 앞 삼거리,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-62,전라북도,전주시 덕진구,시도,,권삼득로,3,전라북도 전주시 덕진구 백제대로 567,전라북도 전주시 덕진구 덕진동1가 664-14,덕진동,2242,35.8411407,127.13159,전북대 구정문 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-14,전라북도,전주시 덕진구,시도,,권삼득로,3,전라북도 전주시 덕진구 권삼득로 327,전라북도 전주시 덕진구 덕진동1가 664-48,덕진동,2242,35.84446647,127.1264291,전북대구정문(서쪽),4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-15,전라북도,전주시 덕진구,시도,,창포길,3,전라북도 전주시 덕진구 덕암길 1,전라북도 전주시 덕진구 덕진동1가 산 40-6,덕진동,2242,35.85059646,127.1231252,덕암마을,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-99,전라북도,전주시 덕진구,시도,,기린대로,3,전라북도 전주시 덕진구 하가4길 7,전라북도 전주시 덕진구 덕진동2가 114-2,덕진동,2242,35.8487425,127.1137854,덕진동 용산목욕탕 주변,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-18,전라북도,전주시 덕진구,시도,,하가로변,3,전라북도 전주시 덕진구 호반5길 7-4,전라북도 전주시 덕진구 덕진동2가 167-359,덕진동,2242,35.84925539,127.1165269,하가지구 휴먼빌2차,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-13,전라북도,전주시 덕진구,시도,,사평로,3,전라북도 전주시 덕진구 사평로 25,전라북도 전주시 덕진구 덕진동2가 236-2,덕진동,2242,35.84068017,127.1202243,법원민원실 앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-16,전라북도,전주시 덕진구,시도,,경동로,3,전라북도 전주시 덕진구 경동로 20,전라북도 전주시 덕진구 덕진동2가 690,덕진동,2242,35.84282614,127.1068885,하가지구부영아파트 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진-17,전라북도,전주시 덕진구,시도,,가리내로 변,3,전라북도 전주시 덕진구 경동로 20,전라북도 전주시 덕진구 덕진동2가 690,덕진동,2242,35.84282614,127.1068885,하가지구부영아파트 후문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
덕진방-4,전라북도,전주시 덕진구,시도,,하가로,3,전라북도 전주시 덕진구 하가로 71,전라북도 전주시 덕진구 덕진동2가 99-1,덕진동,2242,35.84855719,127.1117899,덕일초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-3,전라북도,전주시 덕진구,시도,,성지산로,3,전라북도 전주시 완산구 성지산로 38,전라북도 전주시 완산구 삼천동1가 585-1,삼천1동,2228,35.80084303,127.1236915,삼천초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-5,전라북도,전주시 완산구,시도,,용리로,3,전라북도 전주시 완산구 용리로 157,전라북도 전주시 완산구 삼천동1가 585-4,삼천1동,2228,35.7982178,127.1256384,삼천동 이안아파트 101동앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-6,전라북도,전주시 완산구,시도,,용리로,3,전라북도 전주시 완산구 용리로 83,전라북도 전주시 완산구 삼천동1가 601-18,삼천1동,2228,35.79879981,127.1190134,효문여중~완산소방서,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-4,전라북도,전주시 완산구,시도,,용리로,3,전라북도 전주시 완산구 용리로 165,전라북도 전주시 완산구 삼천동1가 772,삼천1동,2228,35.79912152,127.124745,삼천동 이안아파트 109동앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-8,전라북도,전주시 완산구,시도,,삼천도서관길,3,전라북도 전주시 완산구 용리로 138,전라북도 전주시 완산구 삼천동1가 622,삼천2동,2229,35.79719933,127.1245477,삼익수영장 옆 신협앞,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-10,전라북도,전주시 완산구,시도,,용리로,3,전라북도 전주시 완산구 용리로 142,전라북도 전주시 완산구 삼천동1가 622-2,삼천2동,2229,35.79701949,127.1248458,삼천동 삼천남초교 진입로,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산-9,전라북도,전주시 완산구,시도,,거마산로,3,전라북도 전주시 완산구 상거마4길 24,전라북도 전주시 완산구 삼천동1가 632-5,삼천2동,2229,35.79668383,127.1217145,삼천2동 공영주차장,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산어-2,전라북도,전주시 덕진구,시도,,거마남로,3,전라북도 전주시 완산구 거마남로 71,전라북도 전주시 완산구 삼천동1가 637,삼천2동,2229,35.79575737,127.1244915,삼천남초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
완산방-10,전라북도,전주시 덕진구,시도,,남전들로,3,전라북도 전주시 완산구 장승배기로 14,전라북도 전주시 완산구 삼천동1가 546-32,삼천3동,2230,35.79121932,127.1147101,용와초등학교 정문,4,0,,,,,전라북도 전주시청,063-281-2378,2022-06-15
