구분,세대수,합계,남,여,공영주차장,사고건수,cctv
금암1동,"5,442","7,840","4,271","3,569",1,0,10
금암2동,"5,128","9,713","4,750","4,963",0,0,1
노송동,"5,936","11,340","5,532","5,808",4,207,12
덕진동,"10,688","20,795","10,532","10,263",12,484,16
동서학동,"3,224","6,247","3,085","3,162",2,41,0
삼천1동,"5,023","11,165","5,414","5,751",1,225,4
삼천2동,"6,266","13,267","6,357","6,910",2,13,4
삼천3동,"9,112","21,495","10,358","11,137",0,25,4
서서학동,"4,470","8,462","4,124","4,338",1,89,2
서신동,"17,472","40,253","19,556","20,697",1,357,17
송천1동,"23,616","63,858","31,569","32,289",1,241,29
송천2동,"10,469","25,849","12,626","13,223",4,277,11
여의동,"12,491","30,333","15,227","15,106",0,78,29
완산동,"2,757","5,273","2,589","2,684",0,72,5
우아1동,"6,086","12,604","6,284","6,320",3,0,13
우아2동,"7,678","14,359","7,479","6,880",5,341,2
인후1동,"7,563","18,016","8,607","9,409",1,434,4
인후2동,"5,951","11,033","5,482","5,551",3,130,7
인후3동,"14,627","31,461","15,527","15,934",2,0,8
조촌동,"6,337","12,478","6,402","6,076",2,6,5
중앙동,"4,781","9,306","4,642","4,664",3,36,23
중화산1동,"6,365","14,027","6,738","7,289",0,59,7
중화산2동,"9,191","19,450","9,728","9,722",4,435,9
진북동,"6,938","13,648","6,657","6,991",1,299,7
팔복동,"4,239","7,351","4,014","3,337",0,215,4
평화1동,"7,206","12,621","6,093","6,528",0,164,5
평화2동,"18,805","45,183","21,752","23,431",0,157,15
풍남동,"2,409","3,946","1,980","1,966",2,97,16
혁신동,"6,816","20,122","9,763","10,359",0,0,9
호성동,"7,989","19,606","9,348","10,258",1,131,4
효자1동,"5,618","12,329","5,932","6,397",0,294,4
효자2동,"4,583","9,763","4,653","5,110",0,311,7
효자3동,"5,982","14,415","6,758","7,657",0,471,8
효자4동,"16,332","38,870","18,907","19,963",5,0,15
효자5동,"18,346","37,103","18,634","18,469",18,0,40
