,법정동명,사고건수,사망자수,중상자수,경상자수,부상신고자수,사고 발생 비율 (%)
1,덕진동,484,9,136,571,15,8.424717145343777
29,효자3동,471,6,164,638,4,8.198433420365534
18,중화산2동,435,6,140,559,4,7.5718015665796345
13,인후1동,434,3,111,484,11,7.5543951261966935
7,서신동,357,9,93,475,4,6.214099216710182
12,우아2동,341,3,93,451,7,5.935596170583116
28,효자2동,311,3,108,353,3,5.413402959094865
19,진북동,299,6,85,384,5,5.204525674499565
27,효자1동,294,8,87,334,3,5.117493472584857
9,송천2동,277,3,79,356,3,4.821583986074848
8,송천1동,241,2,58,257,4,4.194952132288947
3,삼천1동,225,3,77,242,3,3.91644908616188
21,팔복동,215,8,59,241,5,3.742384682332463
0,노송동,207,4,66,240,4,3.6031331592689293
22,평화1동,164,3,55,162,0,2.854656222802437
23,평화2동,157,5,50,168,18,2.732811140121845
25,호성동,131,3,30,156,5,2.2802436901653613
14,인후2동,130,0,45,125,3,2.2628372497824194
24,풍남동,97,1,35,112,0,1.6884247171453437
6,서서학동,89,4,32,105,1,1.5491731940818103
10,여의동,78,1,32,108,1,1.3577023498694516
11,완산동,72,4,41,73,2,1.2532637075718016
17,중화산1동,59,2,17,74,1,1.0269799825935595
20,태평동,56,1,20,50,0,0.9747606614447346
2,동서학동,41,0,22,48,0,0.7136640557006092
15,중앙동,36,0,12,42,3,0.6266318537859008
5,삼천3동,18,3,3,31,0,0.3133159268929504
4,삼천2동,13,0,5,12,0,0.22628372497824192
16,중인동,7,0,1,7,0,0.12184508268059183
26,화전동,6,0,1,9,1,0.10443864229765012
